id,first_date
CIC-f4767b63-dd4a-5dd4-ba6d-f03fcd52cd42,2022-12-29
CIC-3640a957-566d-5e59-8c69-a6ec3bdb46a7,2022-12-29
CIC-72e99c3d-7778-5049-b0c4-c21ca278cae4,2022-12-29
CIC-3596eb1f-e035-527d-9673-2dbd62ec5584,2022-12-29
CIC-9d6da15c-eb76-5b1d-bc66-b82e34b4b7d9,2022-12-29
CIC-cf2724a9-6ab4-57b8-be90-55b8fc6165ac,2022-12-29
CIC-cff86108-8352-5054-8a1c-59b4cd9c1787,2022-12-29
CIC-2e1bd510-5544-5384-9532-7ab5338f58a8,2022-12-29
CIC-8200440e-2891-59e3-a171-9db662b873b7,2022-12-29
CIC-6fbb9d90-5ee1-559a-a81b-aa2182603e29,2022-12-29
CIC-306e94f5-2263-5e48-bea9-d906bd7adad7,2022-12-29
CIC-f279f9b9-7771-5be8-ac2e-a32b6fb43514,2022-12-29
CIC-d195b56b-c93d-5725-a612-8052fa835ddb,2022-12-29
CIC-9b54effa-5167-5064-a59f-934f14ac4814,2022-12-29
CIC-81c6f9b9-fbd3-5409-8682-695792f9cd38,2022-12-29
CIC-80de1739-bf98-5aa7-aedc-96328083302f,2022-12-29
CIC-d3612b22-4cc9-58c3-903e-3e2bc4fb1b2d,2022-12-29
CIC-f0877334-6607-546a-bf3a-2d1f6ac05aaa,2022-12-29
CIC-74be7ad9-9790-5eb2-b341-a5831b479755,2022-12-29
CIC-dfe20cc1-b623-5a46-b06e-daddfff86c84,2022-12-29
CIC-da23dbbf-dbd0-5806-9ea9-4f1ee5a67da9,2022-12-29
CIC-d9861a37-79b1-5f41-b219-e0edd23b70c5,2022-12-29
CIC-6b3e6981-c0f1-5447-bbdb-147b43f36af1,2022-12-29
CIC-2a510813-a545-5921-81c8-1380db3120c6,2022-12-29
CIC-98625ed3-473e-5e90-9779-9feb543f21b3,2022-12-29
CIC-0a6e71a9-8a05-55e3-8f99-caf7f96107e6,2022-12-29
CIC-8be118c6-0953-5e4f-9197-b235400dbb57,2022-12-29
CIC-73d91ccc-422d-5fd3-9292-464a0cc84e06,2022-12-29
CIC-3de50682-16b8-5717-b91a-2c0d99ff465c,2022-12-29
CIC-d7d1bda4-b481-5bce-9aff-694e11e24bf8,2022-12-29
CIC-0fb9c668-3714-51e3-b4a7-de5a58275e1f,2022-12-29
CIC-9919e58d-2dda-5b07-afb5-53b0c8c4fed0,2022-12-29
CIC-ca334619-b9ab-58dc-a6d1-f7b793ec61dc,2022-12-29
CIC-83903987-6034-5a2e-a9d4-4e9197d84085,2022-12-29
CIC-2d6e59b0-a6fa-513a-95ce-4b8ed941bc8c,2022-12-29
CIC-0f78c8e0-62a5-58b0-85cb-9d2a1b43be9d,2022-12-29
CIC-d6e6c61f-4aed-516f-8315-c57ec25826c8,2022-12-29
CIC-d6be1f70-aafd-52ce-9f93-4d72866416ed,2022-12-29
CIC-7d2a264f-7b4c-5e56-b55e-dc8b71d30139,2022-12-29
CIC-90f0a831-52a5-534f-bf5a-ac3bc2373d16,2022-12-29
CIC-1a9d264a-854d-5666-b202-66b7e490ed19,2022-12-29
CIC-178503f7-729d-5f7e-8c6d-c938763ed91b,2022-12-29
CIC-516b9413-9456-5867-a896-bf35038f2d7c,2022-12-29
CIC-a74d92da-0002-5518-a5ca-3407a6492f79,2022-12-29
CIC-e9567a20-9323-537b-b5bd-386d2d9ed702,2022-12-29
CIC-1e02ff2d-8e62-5b0b-a82d-fa75c354199f,2022-12-29
CIC-fe63794a-6423-58fb-8470-89d20baf2c63,2022-12-29
CIC-ebf70692-a4e7-5a07-a70d-08fdb87f3ca5,2022-12-29
CIC-5b03072d-b848-5cf4-89c6-449ffdb6faf5,2022-12-29
CIC-b43fb384-d6e0-57dd-ba20-c6cd20c39a13,2022-12-29
CIC-ae90b757-4cad-5506-8bce-864c8f0bfc35,2022-12-29
CIC-03d97514-2bac-5f4d-b4f4-3103a626174f,2022-12-29
